epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4530.31,0.73521,0.47083,1.08277,0.94846,0.92003,0.95587,0.64193,1.32557,0.56062,2.06512,0.0003961,0.0003961,0.0003961
63,4603.06,0.71625,0.44221,1.0663,0.92624,0.93785,0.96168,0.60291,1.38789,0.60328,2.15875,0.0003862,0.0003862,0.0003862
64,4675.88,0.70532,0.43572,1.06655,0.92169,0.93052,0.95334,0.60007,1.42161,0.5967,2.17076,0.0003763,0.0003763,0.0003763
65,4748.73,0.73511,0.4608,1.09311,0.91586,0.94323,0.95947,0.59262,1.42046,0.58562,2.16795,0.0003664,0.0003664,0.0003664
66,4821.46,0.71048,0.45589,1.07998,0.92887,0.94596,0.97266,0.62918,1.32468,0.54081,2.09543,0.0003565,0.0003565,0.0003565
67,4894.21,0.70698,0.44781,1.06995,0.94991,0.93743,0.97307,0.6081,1.39411,0.58216,2.12748,0.0003466,0.0003466,0.0003466
68,4966.98,0.71024,0.431,1.06596,0.89635,0.89559,0.94076,0.57663,1.45698,0.61166,2.21404,0.0003367,0.0003367,0.0003367
69,5039.76,0.70845,0.44527,1.07038,0.95064,0.93133,0.96667,0.59316,1.36436,0.58996,2.11226,0.0003268,0.0003268,0.0003268
70,5112.61,0.69406,0.43274,1.06335,0.93348,0.92095,0.95484,0.59859,1.38413,0.56613,2.11123,0.0003169,0.0003169,0.0003169
71,5185.45,0.70087,0.4193,1.06595,0.93103,0.94545,0.96448,0.62328,1.3526,0.55422,2.07348,0.000307,0.000307,0.000307
72,5258.2,0.70451,0.4367,1.06248,0.91227,0.91061,0.96237,0.62112,1.33422,0.60812,2.02767,0.0002971,0.0002971,0.0002971
73,5331.05,0.69042,0.42297,1.06117,0.93727,0.89721,0.95991,0.59392,1.42729,0.62582,2.21947,0.0002872,0.0002872,0.0002872
74,5403.92,0.70083,0.41115,1.0705,0.87177,0.89803,0.9482,0.57073,1.47435,0.66018,2.24588,0.0002773,0.0002773,0.0002773
75,5476.7,0.69027,0.41936,1.05526,0.93643,0.95274,0.97729,0.61256,1.34893,0.57303,2.09645,0.0002674,0.0002674,0.0002674
76,5549.5,0.68426,0.41585,1.054,0.94037,0.94132,0.97406,0.61536,1.36786,0.57966,2.124,0.0002575,0.0002575,0.0002575
77,5622.23,0.68343,0.40407,1.05557,0.91205,0.92086,0.96143,0.59027,1.44001,0.59764,2.19543,0.0002476,0.0002476,0.0002476
78,5695,0.68575,0.41807,1.0598,0.86706,0.91421,0.94262,0.56845,1.46708,0.60635,2.23161,0.0002377,0.0002377,0.0002377
79,5767.78,0.67816,0.39995,1.06538,0.93311,0.95209,0.96306,0.59272,1.46471,0.56663,2.2353,0.0002278,0.0002278,0.0002278
80,5840.6,0.68079,0.41296,1.06542,0.92599,0.93255,0.95693,0.59566,1.43177,0.61,2.19825,0.0002179,0.0002179,0.0002179
81,5913.49,0.67197,0.40564,1.04676,0.93307,0.94326,0.95771,0.61322,1.35745,0.57364,2.10242,0.000208,0.000208,0.000208
82,5986.29,0.69055,0.40634,1.06026,0.86815,0.93712,0.94446,0.59296,1.38413,0.60342,2.14008,0.0001981,0.0001981,0.0001981
83,6058.98,0.66398,0.39443,1.04057,0.89207,0.92623,0.95518,0.56812,1.49477,0.61456,2.30231,0.0001882,0.0001882,0.0001882
84,6131.74,0.66009,0.3871,1.04248,0.84526,0.88661,0.92955,0.56456,1.43,0.67042,2.27481,0.0001783,0.0001783,0.0001783
85,6204.63,0.67766,0.4077,1.053,0.88491,0.9027,0.93998,0.55466,1.46436,0.64243,2.24954,0.0001684,0.0001684,0.0001684
86,6277.41,0.65317,0.38383,1.04084,0.91105,0.9171,0.95165,0.58855,1.42466,0.59301,2.23231,0.0001585,0.0001585,0.0001585
87,6350.19,0.65951,0.38032,1.04219,0.92479,0.92249,0.95159,0.57482,1.4589,0.59274,2.2461,0.0001486,0.0001486,0.0001486
88,6423.03,0.67103,0.38393,1.04777,0.91952,0.92065,0.9606,0.58066,1.43354,0.57534,2.22072,0.0001387,0.0001387,0.0001387
89,6495.85,0.64574,0.37047,1.03996,0.9124,0.92655,0.95651,0.57428,1.46617,0.61696,2.26176,0.0001288,0.0001288,0.0001288
90,6568.68,0.64702,0.37113,1.03763,0.86766,0.87162,0.93857,0.57429,1.49384,0.64731,2.3125,0.0001189,0.0001189,0.0001189
